id,timestamp,x,y,confidence
car1,14.1,267.267,225.789,27
car1,14.05,268.247,222.559,60
car1,14.1,267.267,225.789,27
car1,14.1,268.231,222.573,60
car1,14.1,267.267,225.789,27
car1,14.15,268.142,222.65,57
car1,14.15,267.168,225.703,23
car1,14.15,268.142,222.65,57
car1,14.15,267.168,225.703,23
car1,14.2,268.09,222.695,55
car1,14.2,267.115,225.657,21
car1,14.2,268.09,222.695,55
car1,14.25,267.074,225.622,20
car1,14.2,268.09,222.695,55
car1,14.25,267.074,225.622,20
car1,14.25,268.047,222.733,54
car1,14.25,267.074,225.622,20
car1,14.3,268.005,222.769,52
car1,14.3,267.037,225.59,19
car1,14.3,268.005,222.769,52
car1,14.3,267.037,225.59,19
car1,14.35,267.927,222.837,49
car1,14.35,266.994,225.552,17
car1,14.35,267.927,222.837,49
car1,14.35,267.927,222.837,49
car1,14.45,267.835,222.917,46
car1,14.45,266.924,225.491,15
car1,14.45,267.835,222.917,46
car1,14.5,266.892,225.464,14
car1,14.45,267.835,222.917,46
car1,14.5,266.892,225.464,14
car1,14.5,267.807,222.941,45
car1,14.5,266.892,225.464,14
car1,14.55,267.763,222.98,44
car1,14.55,266.867,225.441,13
car1,14.55,267.763,222.98,44
car1,14.6,266.849,225.426,12
car1,14.55,267.763,222.98,44
car1,14.6,266.849,225.426,12
car1,14.6,267.729,223.009,42
car1,14.65,266.926,225.493,15
car1,14.6,267.729,223.009,42
car1,14.65,266.926,225.493,15
car1,14.65,267.697,223.037,41
car1,14.65,266.926,225.493,15
car1,14.7,267.665,223.065,40
car1,14.65,266.926,225.493,15
car1,14.75,267.639,223.088,39
car1,14.75,267.639,223.088,39
car1,14.8,267.606,223.116,38
car1,14.85,267.577,223.141,37
car1,14.85,266.977,224.841,13
car1,14.85,267.577,223.141,37
car1,14.9,266.941,224.836,12
car1,14.85,267.577,223.141,37
car1,14.9,266.941,224.836,12
car1,14.9,267.547,223.168,36
car1,14.9,266.941,224.836,12
car1,14.95,267.514,223.196,35
car1,14.95,266.923,224.834,11
car1,14.95,267.514,223.196,35
car1,14.95,266.923,224.834,11
car1,15,267.487,223.219,34
car1,15,266.911,224.832,11
car1,15,267.487,223.219,34
car1,15,266.911,224.832,11
car1,15.05,267.459,223.244,33
car1,15.05,266.906,224.831,11
car1,15.05,267.459,223.244,33
car1,15.05,266.906,224.831,11
car1,15.1,267.431,223.268,32
car1,15.1,266.912,224.832,11
car1,15.1,267.431,223.268,32
car1,15.15,267.012,224.846,13
car1,15.1,267.431,223.268,32
car1,15.15,267.012,224.846,13
car1,15.15,267.409,223.287,31
car1,15.15,267.012,224.846,13
car1,15.2,267.388,223.306,31
car1,15.15,267.012,224.846,13
car1,15.2,267.388,223.306,31
car1,15.15,267.012,224.846,13
car1,15.25,267.372,223.32,30
car1,15.15,267.012,224.846,13
car1,15.25,267.372,223.32,30
car1,15.25,266.912,224.368,11
car1,15.3,266.905,224.369,11
car1,15.35,266.909,224.368,11
