timestamp,person_id,x,y
6,personFlow1.0,266.84,174.179
6,personFlow2.0,267.58,185.701
6.05,personFlow1.0,266.84,174.232
6.05,personFlow2.0,267.58,185.634
6.1,personFlow1.0,266.84,174.297
6.1,personFlow2.0,267.58,185.564
6.15,personFlow1.0,266.84,174.354
6.15,personFlow2.0,267.58,185.493
6.2,personFlow1.0,266.84,174.419
6.2,personFlow2.0,267.58,185.42
6.25,personFlow1.0,266.84,174.472
6.25,personFlow2.0,267.58,185.351
6.3,personFlow1.0,266.84,174.533
6.3,personFlow2.0,267.58,185.282
6.35,personFlow1.0,266.84,174.597
6.35,personFlow2.0,267.58,185.221
6.4,personFlow1.0,266.84,174.655
6.4,personFlow2.0,267.58,185.157
6.45,personFlow1.0,266.84,174.714
6.45,personFlow2.0,267.58,185.091
6.5,personFlow1.0,266.84,174.77
6.5,personFlow2.0,267.58,185.03
6.55,personFlow1.0,266.84,174.829
6.55,personFlow2.0,267.58,184.963
6.6,personFlow1.0,266.84,174.889
6.6,personFlow2.0,267.58,184.903
6.65,personFlow1.0,266.84,174.951
6.65,personFlow2.0,267.58,184.833
6.7,personFlow1.0,266.84,175.013
6.7,personFlow2.0,267.58,184.765
6.75,personFlow1.0,266.84,175.07
6.75,personFlow2.0,267.58,184.696
6.8,personFlow1.0,266.84,175.122
6.8,personFlow2.0,267.58,184.636
6.85,personFlow1.0,266.84,175.178
6.85,personFlow2.0,267.58,184.564
6.9,personFlow1.0,266.84,175.232
6.9,personFlow2.0,267.58,184.502
6.95,personFlow1.0,266.84,175.297
6.95,personFlow2.0,267.58,184.435
7,personFlow1.0,266.84,175.35
7,personFlow2.0,267.58,184.374
7.05,personFlow1.0,266.84,175.405
7.05,personFlow2.0,267.58,184.313
7.1,personFlow1.0,266.84,175.47
7.1,personFlow2.0,267.58,184.248
7.15,personFlow1.0,266.84,175.529
7.15,personFlow2.0,267.58,184.182
7.2,personFlow1.0,266.84,175.592
7.2,personFlow2.0,267.58,184.117
7.25,personFlow1.0,266.84,175.646
7.25,personFlow2.0,267.58,184.053
7.3,personFlow1.0,266.84,175.699
7.3,personFlow2.0,267.58,183.984
7.35,personFlow1.0,266.84,175.752
7.35,personFlow2.0,267.58,183.919
7.4,personFlow1.0,266.84,175.812
7.4,personFlow2.0,267.58,183.851
7.45,personFlow1.0,266.84,175.865
7.45,personFlow2.0,267.58,183.792
7.5,personFlow1.0,266.84,175.922
7.5,personFlow2.0,267.549,183.605
7.55,personFlow1.0,266.84,175.982
7.55,personFlow2.0,267.532,183.549
7.6,personFlow1.0,266.84,176.036
7.6,personFlow2.0,267.515,183.491
7.65,personFlow1.0,266.84,176.093
7.65,personFlow2.0,267.494,183.421
7.7,personFlow1.0,266.84,176.152
7.7,personFlow2.0,267.477,183.365
7.75,personFlow1.0,266.84,176.206
7.75,personFlow2.0,267.48,183.424
7.8,personFlow1.0,266.84,176.27
7.8,personFlow2.0,267.48,183.364
7.85,personFlow1.0,266.84,176.331
7.85,personFlow2.0,267.48,183.291
7.9,personFlow1.0,266.84,176.383
7.9,personFlow2.0,267.48,183.231
7.95,personFlow1.0,266.84,176.446
7.95,personFlow2.0,267.48,183.159
8,personFlow1.0,266.84,176.51
8,personFlow2.0,267.48,183.09
8.05,personFlow1.0,266.84,176.575
8.05,personFlow2.0,267.48,183.025
8.1,personFlow1.0,266.84,176.631
8.1,personFlow2.0,267.48,182.963
8.15,personFlow1.0,266.84,176.685
8.15,personFlow2.0,267.48,182.894
8.2,personFlow1.0,266.84,176.74
8.2,personFlow2.0,267.48,182.834
8.25,personFlow1.0,266.84,176.797
8.25,personFlow2.0,267.48,182.765
8.3,personFlow1.0,266.84,176.853
8.3,personFlow2.0,267.48,182.698
8.35,personFlow1.0,266.84,176.908
8.35,personFlow2.0,267.48,182.628
8.4,personFlow1.0,266.84,176.97
8.4,personFlow2.0,267.48,182.563
8.45,personFlow1.0,266.84,177.033
8.45,personFlow2.0,267.48,182.491
8.5,personFlow1.0,266.84,177.097
8.5,personFlow2.0,267.48,182.422
8.55,personFlow1.0,266.84,177.151
8.55,personFlow2.0,267.48,182.355
8.6,personFlow1.0,266.84,177.205
8.6,personFlow2.0,267.48,182.297
8.65,personFlow1.0,266.84,177.269
8.65,personFlow2.0,267.48,182.237
8.7,personFlow1.0,266.84,177.327
8.7,personFlow2.0,267.48,182.166
8.75,personFlow1.0,266.84,177.386
8.75,personFlow2.0,267.48,182.099
8.8,personFlow1.0,266.84,177.44
8.8,personFlow2.0,267.48,182.03
8.85,personFlow1.0,266.84,177.499
8.85,personFlow2.0,267.48,181.961
8.9,personFlow1.0,266.84,177.561
8.9,personFlow2.0,267.48,181.902
8.95,personFlow1.0,266.84,177.614
8.95,personFlow2.0,267.48,181.838
9,personFlow1.0,266.84,177.668
9,personFlow2.0,267.48,181.78
9.05,personFlow1.0,266.84,177.725
9.05,personFlow2.0,267.48,181.715
9.1,personFlow1.0,266.84,177.782
9.1,personFlow2.0,267.48,181.643
9.15,personFlow1.0,266.84,177.84
9.15,personFlow2.0,267.48,181.583
9.2,personFlow1.0,266.84,177.895
9.2,personFlow2.0,267.48,181.515
9.25,personFlow1.0,266.84,177.949
9.25,personFlow2.0,267.48,181.444
9.3,personFlow1.0,266.84,178.007
9.3,personFlow2.0,267.48,181.372
9.35,personFlow1.0,266.84,178.071
9.35,personFlow2.0,267.48,181.311
9.4,personFlow1.0,266.84,178.125
9.4,personFlow2.0,267.48,181.239
9.45,personFlow1.0,266.84,178.189
9.45,personFlow2.0,267.48,181.167
9.5,personFlow1.0,266.84,178.241
9.5,personFlow2.0,267.48,181.108
9.55,personFlow1.0,266.84,178.298
9.55,personFlow2.0,267.48,181.045
9.6,personFlow1.0,266.84,178.353
9.6,personFlow2.0,267.48,180.98
9.65,personFlow1.0,266.84,178.415
9.65,personFlow2.0,267.48,180.919
9.7,personFlow1.0,266.84,178.47
9.7,personFlow2.0,267.48,180.853
9.75,personFlow1.0,266.84,178.53
9.75,personFlow2.0,267.48,180.788
9.8,personFlow1.0,266.84,178.588
9.8,personFlow2.0,267.48,180.723
9.85,personFlow1.0,266.84,178.651
9.85,personFlow2.0,267.48,180.657
9.9,personFlow1.0,266.84,178.709
9.9,personFlow2.0,267.48,180.598
9.95,personFlow1.0,266.84,178.773
9.95,personFlow2.0,267.48,180.53
10,personFlow1.0,266.84,178.836
10,personFlow2.0,267.48,180.47
10.05,personFlow1.0,266.84,178.889
10.05,personFlow1.1,266.84,167.201
10.05,personFlow2.0,267.48,180.4
10.05,personFlow2.1,272.571,187.96
10.1,personFlow1.0,266.84,178.947
10.1,personFlow1.1,266.84,167.269
10.1,personFlow2.0,267.48,180.328
10.1,personFlow2.1,272.513,187.96
10.15,personFlow1.0,266.84,179.001
10.15,personFlow1.1,266.84,167.338
10.15,personFlow2.0,267.48,180.26
10.15,personFlow2.1,272.462,187.96
10.2,personFlow1.0,266.84,179.064
10.2,personFlow1.1,266.84,167.404
10.2,personFlow2.0,267.48,180.2
10.2,personFlow2.1,272.412,187.96
10.25,personFlow1.0,266.84,179.117
10.25,personFlow1.1,266.84,167.469
10.25,personFlow2.0,267.48,180.132
10.25,personFlow2.1,272.359,187.96
10.3,personFlow1.0,266.84,179.17
10.3,personFlow1.1,266.84,167.527
10.3,personFlow2.0,267.48,180.066
10.3,personFlow2.1,272.306,187.96
10.35,personFlow1.0,266.84,179.223
10.35,personFlow1.1,266.84,167.589
10.35,personFlow2.0,267.48,179.994
10.35,personFlow2.1,272.256,187.959
10.4,personFlow1.0,266.84,179.285
10.4,personFlow1.1,266.84,167.655
10.4,personFlow2.0,267.48,179.928
10.4,personFlow2.1,272.205,187.959
10.45,personFlow1.0,266.84,179.338
10.45,personFlow1.1,266.84,167.722
10.45,personFlow2.0,267.48,179.862
10.45,personFlow2.1,272.145,187.959
10.5,personFlow1.0,266.84,179.395
10.5,personFlow1.1,266.84,167.788
10.5,personFlow2.0,267.48,179.792
10.5,personFlow2.1,272.09,187.959
10.55,personFlow1.0,266.84,179.45
10.55,personFlow1.1,266.84,167.85
10.55,personFlow2.0,267.48,179.726
10.55,personFlow2.1,272.034,187.959
10.6,personFlow1.0,266.84,179.504
10.6,personFlow1.1,266.84,167.908
10.6,personFlow2.0,267.48,179.664
10.6,personFlow2.1,271.977,187.959
10.65,personFlow1.0,266.84,179.562
10.65,personFlow1.1,266.84,167.975
10.65,personFlow2.0,267.48,179.603
10.65,personFlow2.1,271.916,187.959
10.7,personFlow1.0,266.84,179.621
10.7,personFlow1.1,266.84,168.037
10.7,personFlow2.0,267.48,179.543
10.7,personFlow2.1,271.86,187.959
10.75,personFlow1.0,266.84,179.682
10.75,personFlow1.1,266.84,168.104
10.75,personFlow2.0,267.48,179.48
10.75,personFlow2.1,271.831,187.958
10.8,personFlow1.0,266.84,179.743
10.8,personFlow1.1,266.84,168.165
10.8,personFlow2.0,267.48,179.415
10.8,personFlow2.1,271.771,187.955
10.85,personFlow1.0,266.84,179.798
10.85,personFlow1.1,266.84,168.226
10.85,personFlow2.0,267.48,179.355
10.85,personFlow2.1,271.712,187.951
10.9,personFlow1.0,266.84,179.852
10.9,personFlow1.1,266.84,168.295
10.9,personFlow2.0,267.48,179.292
10.9,personFlow2.1,271.652,187.947
10.95,personFlow1.0,266.84,179.905
10.95,personFlow1.1,266.84,168.352
10.95,personFlow2.0,267.48,179.229
10.95,personFlow2.1,271.601,187.944
11,personFlow1.0,266.84,179.958
11,personFlow1.1,266.84,168.421
11,personFlow2.0,267.48,179.17
11,personFlow2.1,271.547,187.941
11.05,personFlow1.0,266.84,180.013
11.05,personFlow1.1,266.84,168.478
11.05,personFlow2.0,267.48,179.102
11.05,personFlow2.1,271.492,187.938
11.1,personFlow1.0,266.84,180.066
11.1,personFlow1.1,266.84,168.548
11.1,personFlow2.0,267.48,179.033
11.1,personFlow2.1,271.439,187.934
11.15,personFlow1.0,266.84,180.118
11.15,personFlow1.1,266.84,168.615
11.15,personFlow2.0,267.48,178.97
11.15,personFlow2.1,271.388,187.931
11.2,personFlow1.0,266.84,180.172
11.2,personFlow1.1,266.84,168.683
11.2,personFlow2.0,267.48,178.903
11.2,personFlow2.1,271.333,187.928
11.25,personFlow1.0,266.84,180.229
11.25,personFlow1.1,266.84,168.741
11.25,personFlow2.0,267.48,178.831
11.25,personFlow2.1,271.272,187.924
11.3,personFlow1.0,266.84,180.292
11.3,personFlow1.1,266.84,168.809
11.3,personFlow2.0,267.48,178.769
11.3,personFlow2.1,271.219,187.921
11.35,personFlow1.0,266.84,180.344
11.35,personFlow1.1,266.84,168.869
11.35,personFlow2.0,267.48,178.706
11.35,personFlow2.1,271.164,187.917
11.4,personFlow1.0,266.84,180.408
11.4,personFlow1.1,266.84,168.934
11.4,personFlow2.0,267.48,178.636
11.4,personFlow2.1,271.111,187.914
11.45,personFlow1.0,266.84,180.471
11.45,personFlow1.1,266.84,168.996
11.45,personFlow2.0,267.48,178.574
11.45,personFlow2.1,271.05,187.91
11.5,personFlow1.0,266.84,180.53
11.5,personFlow1.1,266.84,169.055
11.5,personFlow2.0,267.48,178.504
11.5,personFlow2.1,270.993,187.907
11.55,personFlow1.0,266.84,180.59
11.55,personFlow1.1,266.84,169.117
11.55,personFlow2.0,267.48,178.434
11.55,personFlow2.1,270.935,187.903
11.6,personFlow1.0,266.84,180.645
11.6,personFlow1.1,266.84,169.177
11.6,personFlow2.0,267.48,178.364
11.6,personFlow2.1,270.875,187.899
11.65,personFlow1.0,266.84,180.698
11.65,personFlow1.1,266.84,169.244
11.65,personFlow2.0,267.48,178.294
11.65,personFlow2.1,270.822,187.896
11.7,personFlow1.0,266.84,180.757
11.7,personFlow1.1,266.84,169.3
11.7,personFlow2.0,267.48,178.229
11.7,personFlow2.1,270.764,187.893
11.75,personFlow1.0,266.84,180.815
11.75,personFlow1.1,266.84,169.36
11.75,personFlow2.0,267.48,178.165
11.75,personFlow2.1,270.705,187.889
11.8,personFlow1.0,266.84,180.872
11.8,personFlow1.1,266.84,169.42
11.8,personFlow2.0,267.48,178.093
11.8,personFlow2.1,270.654,187.886
11.85,personFlow1.0,266.84,180.932
11.85,personFlow1.1,266.84,169.482
11.85,personFlow2.0,267.48,178.023
11.85,personFlow2.1,270.596,187.882
11.9,personFlow1.0,266.84,180.991
11.9,personFlow1.1,266.84,169.544
11.9,personFlow2.0,267.48,177.953
11.9,personFlow2.1,270.543,187.879
11.95,personFlow1.0,266.84,181.047
11.95,personFlow1.1,266.84,169.61
11.95,personFlow2.0,267.48,177.886
11.95,personFlow2.1,270.493,187.876
12,personFlow1.0,266.84,181.102
12,personFlow1.1,266.84,169.667
12,personFlow2.0,267.48,177.825
12,personFlow2.1,270.438,187.872
12.05,personFlow1.0,266.84,181.161
12.05,personFlow1.1,266.84,169.733
12.05,personFlow2.0,267.48,177.758
12.05,personFlow2.1,270.382,187.869
12.1,personFlow1.0,266.84,181.221
12.1,personFlow1.1,266.84,169.803
12.1,personFlow2.0,267.48,177.7
12.1,personFlow2.1,270.33,187.866
12.15,personFlow1.0,266.84,181.279
12.15,personFlow1.1,266.84,169.867
12.15,personFlow2.0,267.48,177.635
12.15,personFlow2.1,270.281,187.863
12.2,personFlow1.0,266.84,181.344
12.2,personFlow1.1,266.84,169.927
12.2,personFlow2.0,267.48,177.575
12.2,personFlow2.1,270.225,187.859
12.25,personFlow1.0,266.84,181.399
12.25,personFlow1.1,266.84,169.993
12.25,personFlow2.0,267.48,177.508
12.25,personFlow2.1,270.168,187.856
12.3,personFlow1.0,266.84,181.454
12.3,personFlow1.1,266.84,170.059
12.3,personFlow2.0,267.48,177.437
12.3,personFlow2.1,270.109,187.852
12.35,personFlow1.0,266.84,181.507
12.35,personFlow1.1,266.84,170.117
12.35,personFlow2.0,267.48,177.375
12.35,personFlow2.1,270.06,187.849
12.4,personFlow1.0,266.84,181.56
12.4,personFlow1.1,266.84,170.173
12.4,personFlow2.0,267.48,177.314
12.4,personFlow2.1,270.01,187.846
12.45,personFlow1.0,266.84,181.618
12.45,personFlow1.1,266.84,170.238
12.45,personFlow2.0,267.48,177.248
12.45,personFlow2.1,269.96,187.843
12.5,personFlow1.0,266.84,181.67
12.5,personFlow1.1,266.84,170.308
12.5,personFlow2.0,267.48,177.177
12.5,personFlow2.1,269.909,187.84
12.55,personFlow1.0,266.84,181.735
12.55,personFlow1.1,266.84,170.376
12.55,personFlow2.0,267.48,177.107
12.55,personFlow2.1,269.859,187.837
12.6,personFlow1.0,266.84,181.799
12.6,personFlow1.1,266.84,170.438
