timestamp,person_id,x_gt,y_gt
11.5,personFlow1.1,266.84,169.083
11.55,personFlow1.0,266.84,180.702
11.55,personFlow1.1,266.84,169.147
11.6,personFlow1.0,266.84,180.762
11.6,personFlow1.1,266.84,169.205
11.65,personFlow1.0,266.84,180.824
11.65,personFlow1.1,266.84,169.273
11.7,personFlow1.0,266.84,180.886
11.7,personFlow1.1,266.84,169.339
11.75,personFlow1.0,266.84,180.942
11.75,personFlow1.1,266.84,169.405
11.8,personFlow1.0,266.84,180.995
11.8,personFlow1.1,266.84,169.463
11.85,personFlow1.0,266.84,181.051
11.85,personFlow1.1,266.84,169.532
11.9,personFlow1.0,266.84,181.104
11.9,personFlow1.1,266.84,169.592
11.95,personFlow1.0,266.84,181.169
11.95,personFlow1.1,266.84,169.657
12,personFlow1.0,266.84,181.222
12,personFlow1.1,266.84,169.716
12.05,personFlow1.0,266.84,181.278
12.05,personFlow1.1,266.84,169.775
12.1,personFlow1.0,266.84,181.343
12.1,personFlow1.1,266.84,169.837
12.15,personFlow1.0,266.84,181.402
12.15,personFlow1.1,266.84,169.902
12.2,personFlow1.0,266.84,181.464
12.2,personFlow1.1,266.84,169.965
12.25,personFlow1.0,266.84,181.519
12.25,personFlow1.1,266.84,170.026
12.3,personFlow1.0,266.84,181.572
12.3,personFlow1.1,266.84,170.092
12.35,personFlow1.0,266.84,181.625
12.35,personFlow1.1,266.84,170.155
12.4,personFlow1.0,266.84,181.685
12.4,personFlow1.1,266.84,170.221
12.45,personFlow1.0,266.84,181.738
12.45,personFlow1.1,266.84,170.278
12.5,personFlow1.0,266.84,181.794
12.5,personFlow1.1,266.84,170.34
12.55,personFlow1.0,266.84,181.855
12.55,personFlow1.1,266.84,170.397
12.6,personFlow1.0,266.84,181.908
12.6,personFlow1.1,266.84,170.456
12.65,personFlow1.0,266.84,181.966
12.65,personFlow1.1,266.84,170.525
12.7,personFlow1.0,266.84,182.025
12.7,personFlow1.1,266.84,170.582
12.75,personFlow1.0,266.84,182.079
12.75,personFlow1.1,266.84,170.648
12.8,personFlow1.0,266.84,182.143
12.8,personFlow1.1,266.84,170.706
12.85,personFlow1.0,266.84,182.203
12.85,personFlow1.1,266.84,170.776
12.9,personFlow1.0,266.84,182.256
12.9,personFlow1.1,266.84,170.834
12.95,personFlow1.0,266.84,182.319
12.95,personFlow1.1,266.84,170.903
13,personFlow1.0,266.84,182.383
13,personFlow1.1,266.84,170.97
13.05,personFlow1.0,266.84,182.448
13.05,personFlow1.1,266.84,171.033
13.1,personFlow1.0,266.84,182.504
13.1,personFlow1.1,266.84,171.093
13.15,personFlow1.0,266.84,182.557
13.15,personFlow1.1,266.84,171.16
13.2,personFlow1.0,266.84,182.613
13.2,personFlow1.1,266.84,171.217
13.25,personFlow1.0,266.84,182.67
13.25,personFlow1.1,266.84,171.284
13.3,personFlow1.0,266.84,182.726
13.3,personFlow1.1,266.84,171.349
13.35,personFlow1.0,266.84,182.781
13.35,personFlow1.1,266.84,171.417
13.4,personFlow1.0,266.84,182.842
13.4,personFlow1.1,266.84,171.479
13.45,personFlow1.0,266.84,182.906
13.45,personFlow1.1,266.84,171.548
