timestamp,id,sensor,x,y
15.6,car0,1,266.871,174.104,2
15.65,car0,1,266.848,174.125,2
15.7,car0,1,266.875,174.101,2
15.85,car0,2,267.097,174.603,2
15.9,car0,2,266.932,174.627,2
15.95,car0,2,266.904,174.631,2
16,car0,2,266.889,174.633,2
16.05,car0,2,266.885,174.633,2
16.1,car0,2,266.904,174.631,2
16.15,car0,2,267.089,174.605,2
16.2,car0,3,267.117,175.079,2
16.25,car0,3,266.902,175.049,2
16.3,car0,3,266.886,175.047,2
16.35,car0,3,266.888,175.047,2
16.4,car0,3,266.902,175.049,2
16.45,car0,3,266.932,175.053,2
16.5,car0,3,267.035,175.068,2
16.55,car0,3,267.167,175.086,2
16.7,car0,4,266.841,175.549,2
16.75,car0,4,266.858,175.564,2
16.8,car0,4,266.881,175.584,2
16.85,car0,4,266.908,175.608,2
16.9,car0,4,266.943,175.639,2
16.95,car0,4,266.976,175.667,2
17,car0,4,267.014,175.7,2
17.05,car0,4,267.076,175.754,2
17.1,car0,4,267.156,175.824,2
17.15,car0,4,267.195,175.858,2
17.2,car0,4,267.254,175.909,2
17.25,car0,5,266.721,176.244,2
17.3,car0,5,266.727,176.269,2
17.35,car0,5,266.736,176.314,2
17.4,car0,5,266.747,176.363,2
17.45,car0,5,266.759,176.424,2
17.5,car0,5,266.773,176.487,2
17.55,car0,5,266.784,176.538,2
17.6,car0,5,266.796,176.595,2
17.65,car0,5,266.807,176.65,2
17.7,car0,5,266.82,176.709,2
17.75,car0,5,266.834,176.775,2
17.8,car0,5,266.846,176.83,2
17.85,car0,5,266.857,176.884,2
17.9,car0,5,266.869,176.941,2
17.95,car0,5,266.884,177.008,2
18,car0,5,266.896,177.068,2
18.05,car0,5,266.909,177.128,2
18.1,car0,5,266.921,177.183,2
18.15,car0,5,266.935,177.247,2
18.2,car0,5,266.948,177.311,2
18.25,car0,5,266.962,177.375,2
18.3,car0,5,266.974,177.433,2
18.35,car0,5,266.988,177.498,2
18.4,car0,5,266.997,177.542,2
18.45,car0,5,267.008,177.591,2
18.5,car0,5,267.018,177.639,2
18.55,car0,5,267.031,177.699,2
18.6,car0,5,267.042,177.755,2
18.65,car0,5,267.056,177.817,2
18.7,car0,5,267.068,177.875,2
18.75,car0,5,267.08,177.933,2
18.8,car0,5,267.093,177.991,2
18.85,car0,5,267.105,178.048,2
18.9,car0,5,267.116,178.101,2
18.95,car0,5,267.128,178.156,2
19,car0,5,267.141,178.219,2
19.05,car0,5,267.155,178.283,2
19.1,car0,5,267.169,178.352,2
19.15,car0,5,267.182,178.411,2
19.2,car0,5,267.196,178.48,2
19.25,car0,5,267.211,178.547,2
19.3,car0,5,267.225,178.613,2
19.35,car0,5,267.238,178.676,2
19.4,car0,5,267.254,178.751,2
19.45,car0,5,267.268,178.816,2
19.5,car0,5,267.282,178.881,2
19.55,car0,5,267.296,178.947,2
19.6,car0,5,267.308,179.004,2
19.65,car0,5,267.32,179.063,2
19.7,car0,5,267.331,179.112,2
19.75,car0,5,267.341,179.16,2
19.8,car0,5,267.353,179.216,2
19.85,car0,5,267.364,179.27,2
19.9,car0,5,267.378,179.332,2
19.95,car0,5,267.391,179.393,2
20,car0,5,267.404,179.456,2
20.05,car0,5,267.417,179.517,2
20.1,car0,5,267.429,179.574,2
20.15,car0,5,267.441,179.632,2
20.2,car0,5,267.454,179.692,2
20.25,car0,5,267.466,179.748,2
20.3,car0,5,267.48,179.815,2
20.35,car0,5,267.493,179.874,2
20.4,car0,5,267.506,179.934,2
20.45,car0,5,267.519,179.999,2
20.5,car0,5,267.534,180.065,2
20.55,car0,5,267.548,180.134,2
20.6,car0,5,267.561,180.196,2
20.65,car0,5,267.576,180.266,2
20.7,car0,5,267.591,180.336,2
20.75,car0,5,267.605,180.404,2
20.8,car0,5,267.619,180.468,2
20.85,car0,5,267.633,180.532,2
20.9,car0,5,267.646,180.595,2
20.95,car0,5,267.663,180.673,2
21,car0,5,267.679,180.752,2
21.05,car0,5,267.695,180.824,2
21.1,car0,5,267.707,180.881,2
21.15,car0,0,267.741,168.638,2
21.15,car0,5,267.72,180.944,2
21.2,car0,0,267.729,168.696,3
21.2,car0,5,267.734,181.01,3
21.25,car0,0,267.715,168.761,3
21.3,car0,0,267.701,168.827,3
21.35,car0,0,267.687,168.892,3
21.4,car0,0,267.672,168.965,3
21.45,car0,0,267.657,169.034,3
21.5,car0,0,267.644,169.095,3
21.55,car0,0,267.63,169.163,3
21.6,car0,0,267.615,169.233,3
21.65,car0,0,267.6,169.301,3
21.7,car0,0,267.583,169.38,3
21.75,car0,0,267.566,169.46,3
21.8,car0,0,267.551,169.532,3
21.85,car0,0,267.536,169.605,3
21.9,car0,0,267.521,169.675,3
21.95,car0,0,267.506,169.746,3
22,car0,0,267.491,169.815,3
22.05,car0,0,267.475,169.892,3
22.1,car0,0,267.459,169.966,3
22.15,car0,0,267.443,170.04,3
22.2,car0,0,267.43,170.103,3
22.25,car0,0,267.414,170.178,3
22.3,car0,0,267.399,170.249,3
22.35,car0,0,267.383,170.323,3
22.4,car0,0,267.368,170.393,3
22.45,car0,0,267.354,170.459,3
22.5,car0,0,267.34,170.527,3
22.55,car0,0,267.327,170.584,3
22.6,car0,0,267.313,170.652,3
22.65,car0,0,267.301,170.707,3
22.7,car0,0,267.289,170.766,3
22.75,car0,0,267.277,170.824,3
22.8,car0,0,267.27,170.854,3
22.85,car0,0,267.257,170.915,3
22.9,car0,0,267.242,170.984,3
22.95,car0,0,267.229,171.049,3
23,car0,0,267.216,171.11,3
23.05,car0,0,267.202,171.173,3
23.1,car0,0,267.187,171.243,3
23.15,car0,0,267.174,171.308,3
23.2,car0,0,267.161,171.369,3
23.25,car0,0,267.146,171.439,3
23.3,car0,0,267.132,171.502,3
23.35,car0,0,267.12,171.558,3
23.4,car0,0,267.102,171.643,3
23.45,car0,0,267.084,171.731,3
23.5,car0,0,267.069,171.801,3
23.55,car0,0,267.053,171.877,3
23.6,car0,0,267.038,171.947,3
23.65,car0,0,267.022,172.021,3
23.7,car0,0,267.008,172.089,3
23.75,car0,0,266.993,172.158,3
23.8,car0,0,266.98,172.217,3
23.85,car0,0,266.97,172.265,3
23.9,car0,0,266.963,172.299,3
23.95,car0,0,266.948,172.368,3
24,car0,0,266.934,172.435,3
24.05,car0,0,266.921,172.497,3
24.1,car0,0,266.908,172.556,3
24.15,car0,0,266.896,172.615,3
24.2,car0,0,266.881,172.684,3
24.25,car0,0,266.866,172.758,3
24.3,car0,0,266.852,172.823,3
24.35,car0,0,266.839,172.882,3
24.4,car0,0,266.824,172.951,3
24.45,car0,0,266.811,173.014,3
24.5,car0,0,266.799,173.07,3
24.55,car0,0,266.785,173.135,3
24.6,car0,0,266.772,173.196,3
24.65,car0,0,266.761,173.252,3
24.7,car0,0,266.748,173.312,3
24.75,car0,0,266.738,173.355,3
24.85,car0,1,267.293,173.738,3
24.9,car0,1,267.243,173.781,3
24.95,car0,1,267.204,173.815,3
25,car0,1,267.11,173.897,3
25.05,car0,1,267.051,173.948,3
25.1,car0,1,267.001,173.992,3
25.15,car0,1,266.958,174.029,3
25.2,car0,1,266.922,174.06,3
25.25,car0,1,266.889,174.089,3
25.3,car0,1,266.861,174.113,3
25.35,car0,1,266.845,174.127,3
25.4,car0,1,266.913,174.068,3
25.5,car0,2,267.15,174.596,3
25.55,car0,2,266.977,174.62,3
25.6,car0,2,266.916,174.629,3
25.65,car0,2,266.896,174.632,3
25.7,car0,2,266.886,174.633,3
25.75,car0,2,266.892,174.632,3
25.8,car0,2,266.969,174.621,3
25.9,car0,3,266.912,175.051,3
25.95,car0,3,266.887,175.047,3
26,car0,3,266.887,175.047,3
26.05,car0,3,266.9,175.049,3
26.1,car0,3,266.931,175.053,3
26.15,car0,3,267.084,175.075,3
26.3,car0,4,266.845,175.553,3
26.35,car0,4,266.845,175.553,3
26.4,car0,4,266.868,175.573,3
26.45,car0,4,266.895,175.597,3
26.5,car0,4,266.931,175.628,3
26.55,car0,4,266.967,175.659,3
26.6,car0,4,267.013,175.699,3
26.65,car0,4,267.078,175.756,3
26.7,car0,4,267.154,175.822,3
26.75,car0,4,267.195,175.858,3
26.8,car0,4,267.257,175.911,3
26.85,car0,5,266.721,176.245,3
26.9,car0,5,266.728,176.277,3
26.95,car0,5,266.74,176.331,3
27,car0,5,266.752,176.389,3
27.05,car0,5,266.763,176.442,3
27.1,car0,5,266.778,176.509,3
27.15,car0,5,266.79,176.568,3
27.2,car0,5,266.805,176.636,3
27.25,car0,5,266.817,176.694,3
27.3,car0,5,266.832,176.766,3
27.35,car0,5,266.844,176.823,3
27.4,car0,5,266.858,176.886,3
27.45,car0,5,266.87,176.946,3
27.5,car0,5,266.884,177.011,3
27.55,car0,5,266.899,177.078,3
27.6,car0,5,266.911,177.136,3
27.65,car0,5,266.925,177.204,3
27.7,car0,5,266.939,177.269,3
27.75,car0,5,266.953,177.334,3
27.8,car0,5,266.966,177.397,3
27.85,car0,5,266.98,177.462,3
27.9,car0,5,266.994,177.528,3
27.95,car0,5,267.006,177.585,3
28,car0,5,267.018,177.641,3
28.05,car0,5,267.03,177.698,3
28.1,car0,5,267.042,177.753,3
28.15,car0,5,267.054,177.811,3
28.2,car0,5,267.069,177.879,3
28.25,car0,5,267.082,177.939,3
28.3,car0,5,267.093,177.994,3
28.35,car0,5,267.105,178.048,3
28.4,car0,5,267.119,178.113,3
28.45,car0,5,267.131,178.172,3
28.5,car0,5,267.145,178.235,3
28.55,car0,5,267.16,178.307,3
28.6,car0,5,267.173,178.369,3
28.65,car0,5,267.189,178.444,3
28.7,car0,5,267.204,178.513,3
