timestamp,car_id,sensor_id,track_id,gt_x,gt_y,track_x,track_y
84.7,car0,0,90,266.84,172.17,267.0,172.123
84.75,car0,0,90,266.84,172.228,266.989,172.176
84.8,car0,0,90,266.84,172.286,266.979,172.224
84.85,car0,0,90,266.84,172.335,266.971,172.262
84.9,car0,0,90,266.84,172.394,266.965,172.288
84.95,car0,0,90,266.84,172.447,266.955,172.335
85.0,car0,0,90,266.84,172.497,266.945,172.386
85.05,car0,0,90,266.84,172.552,266.933,172.441
85.1,car0,0,90,266.84,172.603,266.922,172.491
85.15,car0,0,90,266.84,172.66,266.911,172.544
85.2,car0,0,90,266.84,172.709,266.901,172.588
85.25,car0,0,90,266.84,172.76,266.892,172.634
85.3,car0,0,90,266.84,172.813,266.88,172.691
85.35,car0,0,90,266.84,172.871,266.867,172.749
85.4,car0,0,90,266.84,172.919,266.857,172.797
85.45,car0,0,90,266.84,172.968,266.848,172.842
85.5,car0,0,90,266.84,173.027,266.837,172.893
85.55,car0,0,90,266.84,173.076,266.826,172.942
85.6,car0,0,90,266.84,173.124,266.816,172.989
85.65,car0,0,90,266.84,173.179,266.806,173.038
85.7,car0,0,90,266.84,173.233,266.796,173.086
85.75,car0,0,90,266.84,173.283,266.786,173.133
85.8,car0,0,90,266.84,173.338,266.776,173.18
85.85,car0,0,90,266.84,173.395,266.765,173.232
85.9,car0,0,90,266.84,173.448,266.755,173.276
85.95,car0,0,90,266.84,173.496,266.747,173.316
86.0,car0,0,90,266.84,173.547,266.74,173.349
86.05,car0,0,90,266.84,173.6,266.735,173.372
86.1,car0,0,90,266.84,173.657,267.329,173.706
86.15,car0,0,90,266.84,173.712,267.275,173.753
86.2,car0,0,90,266.84,173.763,267.238,173.786
86.25,car0,0,90,266.84,173.823,267.202,173.816
86.3,car0,0,90,266.84,173.881,267.121,173.887
86.35,car0,0,90,266.84,173.941,267.059,173.941
86.4,car0,1,90,266.84,173.996,267.018,173.977
86.45,car0,1,90,266.84,174.046,266.988,174.003
86.5,car0,1,90,266.84,174.094,266.96,174.027
86.55,car0,1,90,266.84,174.149,266.93,174.053
86.6,car0,1,90,266.84,174.207,266.902,174.078
86.65,car0,1,90,266.84,174.259,266.878,174.098
86.7,car0,1,90,266.84,174.318,266.856,174.118
86.75,car0,1,90,266.84,174.376,266.846,174.126
86.8,car0,1,90,266.84,174.428,266.91,174.07
86.95,car0,2,90,266.84,174.585,267.119,174.6
87.0,car0,2,90,266.84,174.642,266.964,174.622
87.05,car0,2,90,266.84,174.698,266.917,174.629
87.1,car0,2,90,266.84,174.745,266.902,174.631
87.15,car0,2,90,266.84,174.793,266.891,174.632
87.2,car0,2,90,266.84,174.843,266.886,174.633
87.25,car0,2,90,266.84,174.898,266.89,174.633
87.3,car0,2,90,266.84,174.951,266.938,174.626
87.35,car0,3,90,266.84,175.004,267.139,174.598
87.4,car0,3,90,266.84,175.063,267.082,175.074
87.45,car0,3,90,266.84,175.114,266.899,175.049
87.5,car0,3,90,266.84,175.17,266.886,175.047
87.55,car0,3,90,266.84,175.223,266.887,175.047
87.6,car0,3,90,266.84,175.28,266.897,175.048
87.65,car0,3,90,266.84,175.336,266.916,175.051
87.7,car0,3,90,266.84,175.391,266.974,175.059
87.75,car0,3,90,266.84,175.447,267.107,175.078
87.9,car0,4,90,266.84,175.611,266.863,175.569
87.95,car0,4,90,266.84,175.667,266.841,175.549
88.0,car0,4,90,266.84,175.721,266.856,175.562
88.05,car0,4,90,266.84,175.779,266.878,175.581
88.1,car0,4,90,266.84,175.837,266.903,175.604
88.15,car0,4,90,266.84,175.888,266.928,175.625
88.2,car0,4,90,266.84,175.936,266.955,175.648
88.25,car0,4,90,266.84,175.989,266.985,175.675
88.3,car0,4,90,266.84,176.045,267.026,175.71
88.35,car0,4,90,266.84,176.095,267.075,175.753
88.4,car0,4,90,266.84,176.144,267.143,175.812
88.45,car0,5,90,266.84,176.194,267.172,175.837
88.5,car0,5,90,266.84,176.253,267.211,175.871
88.55,car0,5,90,266.84,176.311,267.266,175.919
88.6,car0,5,90,266.84,176.359,266.721,176.244
88.65,car0,5,90,266.84,176.414,266.725,176.261
88.7,car0,5,90,266.84,176.474,266.733,176.298
88.75,car0,5,90,266.84,176.531,266.743,176.345
88.8,car0,5,90,266.84,176.581,266.752,176.39
88.85,car0,5,90,266.84,176.636,266.762,176.437
88.9,car0,5,90,266.84,176.69,266.773,176.488
88.95,car0,5,90,266.84,176.74,266.782,176.53
89.0,car0,5,90,266.84,176.789,266.792,176.575
89.05,car0,5,90,266.84,176.839,266.802,176.623
89.1,car0,5,90,266.84,176.889,266.811,176.666
89.15,car0,5,90,266.84,176.939,266.821,176.712
89.2,car0,5,90,266.84,176.99,266.832,176.763
89.25,car0,5,90,266.84,177.043,266.842,176.812
89.3,car0,5,90,266.84,177.101,266.853,176.863
89.35,car0,5,90,266.84,177.157,266.864,176.916
89.4,car0,5,90,266.84,177.21,266.875,176.967
89.45,car0,5,90,266.84,177.261,266.885,177.016
89.5,car0,5,90,266.84,177.312,266.896,177.067
89.55,car0,5,90,266.84,177.362,266.906,177.111
89.6,car0,5,90,266.84,177.419,266.917,177.163
89.65,car0,5,90,266.84,177.467,266.926,177.208
89.7,car0,5,90,266.84,177.526,266.938,177.264
89.75,car0,5,90,266.84,177.58,266.949,177.315
89.8,car0,5,90,266.84,177.638,266.961,177.37
89.85,car0,5,90,266.84,177.686,266.971,177.419
89.9,car0,5,90,266.84,177.738,266.983,177.474
89.95,car0,5,90,266.84,177.796,266.993,177.524
90.0,car0,5,90,266.84,177.847,267.001,177.561
90.05,car0,5,90,266.84,177.904,267.011,177.606
90.1,car0,5,90,266.84,177.957,267.02,177.65
90.15,car0,5,90,266.84,178.013,267.031,177.699
90.2,car0,5,90,266.84,178.062,267.04,177.743
90.25,car0,5,90,266.84,178.114,267.05,177.79
90.3,car0,5,90,266.84,178.167,267.061,177.841
90.35,car0,5,90,266.84,178.216,267.07,177.884
90.4,car0,5,90,266.84,178.271,267.08,177.931
90.45,car0,5,90,266.84,178.324,267.09,177.977
90.5,car0,5,90,266.84,178.381,267.1,178.028
90.55,car0,5,90,266.84,178.434,267.111,178.077
90.6,car0,5,90,266.84,178.485,267.121,178.124
90.65,car0,5,90,266.84,178.535,267.131,178.172
90.7,car0,5,90,266.84,178.589,267.142,178.223
90.75,car0,5,90,266.84,178.637,267.152,178.27
90.8,car0,5,90,266.84,178.686,267.162,178.319
90.85,car0,5,90,266.84,178.736,267.173,178.37
90.9,car0,5,90,266.84,178.789,267.185,178.426
90.95,car0,5,90,266.84,178.846,267.198,178.486
91.0,car0,5,90,266.84,178.9,267.21,178.544
