timestamp,x,y,car,sensor
35.3,266.84,173.925,car0,0
35.35,266.84,173.984,car0,0
35.4,266.84,174.056,car0,1
35.45,266.84,174.118,car0,1
35.5,266.84,174.186,car0,1
35.55,266.84,174.247,car0,1
35.6,266.84,174.315,car0,1
35.65,266.84,174.382,car0,1
35.7,266.84,174.45,car0,1
35.75,266.84,174.513,car0,1
35.8,266.84,174.582,car0,2
35.85,266.84,174.652,car0,2
35.9,266.84,174.714,car0,2
35.95,266.84,174.785,car0,2
36.0,266.84,174.843,car0,2
36.05,266.84,174.908,car0,2
36.1,266.84,174.975,car0,2
36.15,266.84,175.035,car0,3
36.2,266.84,175.102,car0,3
36.25,266.84,175.171,car0,3
36.3,266.84,175.241,car0,3
36.35,266.84,175.302,car0,3
36.4,266.84,175.361,car0,3
36.45,266.84,175.421,car0,3
36.5,266.84,175.478,car0,4
36.55,266.84,175.546,car0,4
36.6,266.84,175.615,car0,4
36.65,266.84,175.678,car0,4
36.7,266.84,175.744,car0,4
36.75,266.84,175.806,car0,4
36.8,266.84,175.877,car0,4
36.85,266.84,175.935,car0,4
36.9,266.84,175.996,car0,4
36.95,266.84,176.054,car0,4
37.0,266.84,176.12,car0,4
37.05,266.84,176.18,car0,5
37.1,266.84,176.243,car0,5
37.15,266.84,176.303,car0,5
37.2,266.84,176.37,car0,5
37.25,266.84,176.434,car0,5
37.3,266.84,176.497,car0,5
37.35,266.84,176.568,car0,5
37.4,266.84,176.629,car0,5
37.45,266.84,176.695,car0,5
37.5,266.84,176.754,car0,5
37.55,266.84,176.821,car0,5
37.6,266.84,176.887,car0,5
37.65,266.84,176.95,car0,5
37.7,266.84,177.015,car0,5
37.75,266.84,177.08,car0,5
37.8,266.84,177.144,car0,5
37.85,266.84,177.213,car0,5
37.9,266.84,177.283,car0,5
37.95,266.84,177.34,car0,5
38.0,266.84,177.405,car0,5
38.05,266.84,177.471,car0,5
38.1,266.84,177.533,car0,5
38.15,266.84,177.603,car0,5
38.2,266.84,177.667,car0,5
38.25,266.84,177.727,car0,5
38.3,266.84,177.798,car0,5
38.35,266.84,177.859,car0,5
38.4,266.84,177.922,car0,5
38.45,266.84,177.991,car0,5
38.5,266.84,178.052,car0,5
38.55,266.84,178.118,car0,5
38.6,266.84,178.182,car0,5
38.65,266.84,178.248,car0,5
38.7,266.84,178.305,car0,5
38.75,266.84,178.364,car0,5
38.8,266.84,178.434,car0,5
38.85,266.84,178.503,car0,5
38.9,266.84,178.57,car0,5
38.95,266.84,178.641,car0,5
39.0,266.84,178.701,car0,5
39.05,266.84,178.768,car0,5
39.1,266.84,178.827,car0,5
39.15,266.84,178.889,car0,5
39.2,266.84,178.952,car0,5
39.25,266.84,179.022,car0,5
39.3,266.84,179.084,car0,5
39.35,266.84,179.141,car0,5
39.4,266.84,179.213,car0,5
39.45,266.84,179.277,car0,5
39.5,266.84,179.344,car0,5
39.55,266.84,179.406,car0,5
39.6,266.84,179.464,car0,5
39.65,266.84,179.528,car0,5
39.7,266.84,179.588,car0,5
39.75,266.84,179.651,car0,5
39.8,266.84,179.709,car0,5
39.85,266.84,179.768,car0,5
39.9,266.84,179.837,car0,5
39.95,266.84,179.9,car0,5
40.0,266.84,179.96,car0,5
40.05,266.84,180.024,car0,5
40.1,266.84,180.081,car0,5
40.15,266.84,180.153,car0,5
40.2,266.84,180.214,car0,5
40.25,266.84,180.275,car0,5
40.3,266.84,180.342,car0,5
40.35,266.84,180.399,car0,5
40.4,266.84,180.47,car0,5
40.45,266.84,180.539,car0,5
40.5,266.84,180.601,car0,5
40.55,266.84,180.67,car0,5
40.6,266.84,180.73,car0,5
40.65,266.84,180.795,car0,5
40.7,266.84,180.853,car0,5
40.75,266.84,180.917,car0,5
40.8,266.84,180.984,car0,5
40.85,266.84,181.054,car0,5
40.9,266.84,181.116,car0,5
40.95,266.84,181.181,car0,5
41.0,266.84,181.252,car0,5
41.05,266.84,181.323,car0,5
41.1,266.84,181.393,car0,5
41.15,266.84,181.456,car0,5
41.2,266.84,181.519,car0,5
41.25,266.84,181.582,car0,5
41.3,266.84,181.649,car0,5
