timestamp,id,sensor,x,y
10.15,car0,5,267.234,178.655,2
10.2,car0,0,267.619,169.215,2
10.2,car0,5,267.248,178.724,2
10.25,car0,0,267.631,169.155,2
10.25,car0,5,267.261,178.783,2
10.3,car0,0,267.644,169.093,2
10.3,car0,5,267.272,178.834,2
10.35,car0,0,267.657,169.036,2
10.35,car0,5,267.283,178.886,2
10.4,car0,0,267.67,168.973,2
10.4,car0,5,267.296,178.946,2
10.45,car0,0,267.686,168.9,2
10.45,car0,5,267.307,178.998,2
10.5,car0,0,267.7,168.83,2
10.5,car0,5,267.319,179.055,2
10.55,car0,0,267.715,168.759,2
10.55,car0,5,267.329,179.104,2
10.6,car0,0,267.731,168.684,2
10.6,car0,5,267.339,179.148,2
10.65,car0,5,267.349,179.197,2
10.7,car0,5,267.36,179.247,2
10.75,car0,5,267.371,179.3,2
10.8,car0,5,267.382,179.354,2
10.85,car0,5,267.393,179.404,2
10.9,car0,5,267.403,179.453,2
10.95,car0,5,267.414,179.502,2
11,car0,5,267.424,179.551,2
11.05,car0,5,267.435,179.602,2
11.1,car0,5,267.446,179.651,2
11.15,car0,5,267.456,179.701,2
11.2,car0,0,267.734,168.672,2
11.2,car0,5,267.467,179.752,2
11.25,car0,0,267.723,168.725,2
11.25,car0,5,267.479,179.807,2
11.3,car0,0,267.709,168.788,2
11.3,car0,5,267.492,179.869,2
11.35,car0,0,267.698,168.842,2
11.35,car0,5,267.503,179.919,2
11.4,car0,0,267.685,168.902,2
11.4,car0,5,267.516,179.982,2
11.45,car0,0,267.672,168.965,2
11.45,car0,5,267.529,180.045,2
11.5,car0,0,267.659,169.026,2
11.5,car0,5,267.542,180.104,2
11.55,car0,0,267.645,169.089,2
11.55,car0,5,267.555,180.164,2
11.6,car0,0,267.633,169.148,2
11.6,car0,5,267.567,180.221,2
11.65,car0,0,267.619,169.215,3
11.65,car0,5,267.578,180.275,3
11.7,car0,0,267.607,169.27,3
11.7,car0,5,267.591,180.336,3
11.75,car0,0,267.593,169.336,3
11.75,car0,5,267.604,180.397,3
11.8,car0,0,267.578,169.405,3
11.8,car0,5,267.593,180.347,3
11.85,car0,0,267.564,169.473,3
11.85,car0,5,267.581,180.29,3
11.9,car0,0,267.55,169.538,3
11.9,car0,5,267.569,180.232,3
11.95,car0,0,267.535,169.607,3
11.95,car0,5,267.558,180.18,3
12,car0,0,267.523,169.667,3
12,car0,5,267.548,180.133,3
12.05,car0,0,267.508,169.735,3
12.05,car0,5,267.537,180.084,3
12.1,car0,0,267.493,169.807,3
12.1,car0,5,267.529,180.042,3
12.15,car0,0,267.479,169.873,3
12.15,car0,5,267.52,180,3
12.2,car0,0,267.466,169.935,3
12.2,car0,5,267.51,179.957,3
12.25,car0,0,267.451,170.002,3
12.25,car0,5,267.499,179.901,3
12.3,car0,0,267.437,170.071,3
12.3,car0,5,267.485,179.837,3
12.35,car0,0,267.424,170.129,3
12.35,car0,5,267.474,179.784,3
12.4,car0,0,267.412,170.186,3
12.4,car0,5,267.463,179.732,3
12.45,car0,0,267.398,170.253,3
12.45,car0,5,267.451,179.678,3
12.5,car0,0,267.383,170.323,3
12.5,car0,5,267.438,179.617,3
12.55,car0,0,267.369,170.39,3
12.55,car0,5,267.426,179.56,3
12.6,car0,0,267.356,170.45,3
12.6,car0,5,267.413,179.5,3
12.65,car0,0,267.343,170.513,4
12.65,car0,5,267.401,179.444,4
12.7,car0,0,267.331,170.567,4
12.7,car0,5,267.39,179.388,4
12.75,car0,0,267.318,170.631,4
12.75,car0,5,267.38,179.342,4
12.8,car0,0,267.305,170.688,4
12.8,car0,5,267.37,179.294,4
12.85,car0,0,267.293,170.747,4
12.85,car0,5,267.361,179.251,4
12.9,car0,0,267.281,170.803,4
12.9,car0,5,267.351,179.206,4
12.95,car0,0,267.271,170.848,4
12.95,car0,5,267.341,179.16,4
13,car0,0,267.265,170.879,4
13,car0,5,267.329,179.102,4
13.05,car0,0,267.251,170.943,4
13.05,car0,5,267.316,179.043,4
13.1,car0,0,267.238,171.005,4
13.1,car0,5,267.305,178.99,4
13.15,car0,0,267.224,171.071,4
13.15,car0,5,267.294,178.937,4
13.2,car0,0,267.212,171.129,4
13.2,car0,5,267.282,178.883,4
13.25,car0,0,267.198,171.195,4
13.25,car0,5,267.271,178.829,4
13.3,car0,0,267.184,171.258,4
13.3,car0,5,267.261,178.782,4
13.35,car0,0,267.172,171.314,4
13.35,car0,5,267.251,178.734,4
13.4,car0,0,267.161,171.37,4
13.4,car0,5,267.24,178.684,4
13.45,car0,0,267.147,171.431,4
13.45,car0,5,267.231,178.64,4
13.5,car0,0,267.135,171.489,4
13.5,car0,5,267.219,178.585,4
13.55,car0,0,267.122,171.552,4
13.55,car0,5,267.208,178.534,4
13.6,car0,0,267.106,171.626,4
13.6,car0,5,267.197,178.484,4
13.65,car0,0,267.091,171.695,4
13.65,car0,5,267.188,178.44,4
13.7,car0,0,267.076,171.767,4
13.7,car0,5,267.178,178.391,4
13.75,car0,0,267.061,171.837,4
13.75,car0,5,267.167,178.34,4
13.8,car0,0,267.047,171.905,4
13.8,car0,5,267.155,178.284,4
13.85,car0,0,267.031,171.977,4
13.85,car0,5,267.145,178.237,4
13.9,car0,0,267.018,172.04,4
13.9,car0,5,267.135,178.191,4
13.95,car0,0,267.006,172.095,4
13.95,car0,5,267.126,178.148,4
14,car0,0,266.994,172.154,4
14,car0,5,267.116,178.103,4
14.05,car0,0,266.982,172.209,4
14.05,car0,5,267.103,178.041,4
14.1,car0,0,266.972,172.256,4
14.1,car0,5,267.091,177.985,4
14.15,car0,0,266.965,172.288,4
14.15,car0,5,267.079,177.928,4
14.2,car0,0,266.953,172.346,4
14.2,car0,5,267.066,177.867,4
14.25,car0,0,266.939,172.411,4
14.25,car0,5,267.055,177.815,4
14.3,car0,0,266.924,172.481,4
14.3,car0,5,267.048,177.779,4
14.35,car0,0,266.911,172.542,4
14.35,car0,5,267.038,177.734,4
14.4,car0,0,266.898,172.605,4
14.4,car0,5,267.022,177.658,4
14.45,car0,0,266.886,172.661,4
14.45,car0,5,267.01,177.602,4
14.5,car0,0,266.873,172.721,4
14.5,car0,5,267.001,177.559,4
14.55,car0,0,266.86,172.783,4
14.55,car0,5,266.993,177.523,4
14.6,car0,0,266.849,172.837,4
14.6,car0,5,266.984,177.48,4
14.65,car0,0,266.837,172.894,4
14.65,car0,5,266.972,177.424,4
14.7,car0,0,266.822,172.962,4
14.7,car0,5,266.963,177.382,4
14.75,car0,0,266.81,173.017,4
14.75,car0,4,266.96,177.368,4
14.8,car0,0,266.798,173.074,4
14.8,car0,4,268.191,176.723,4
14.85,car0,0,266.785,173.138,4
14.85,car0,4,268.169,176.704,4
14.9,car0,0,266.773,173.193,4
14.9,car0,4,268.131,176.671,4
14.95,car0,0,266.76,173.253,4
14.95,car0,4,268.056,176.606,4
15,car0,0,266.749,173.305,4
15,car0,4,268.01,176.566,4
15.05,car0,0,266.74,173.346,4
15.05,car0,4,267.971,176.531,4
15.1,car0,0,266.735,173.372,4
15.1,car0,4,267.946,176.51,4
15.15,car0,1,267.32,173.714,4
15.15,car0,4,267.841,176.419,4
15.2,car0,1,267.261,173.765,4
15.2,car0,4,267.798,176.381,4
15.25,car0,1,267.223,173.799,4
15.25,car0,4,267.76,176.348,4
15.3,car0,1,267.18,173.835,4
15.3,car0,4,267.733,176.325,4
15.35,car0,1,267.076,173.926,4
15.35,car0,4,267.695,176.292,4
15.4,car0,1,267.027,173.969,4
15.4,car0,4,267.669,176.27,4
15.45,car0,1,266.984,174.006,4
15.45,car0,4,267.633,176.238,4
15.5,car0,1,266.948,174.038,4
15.5,car0,4,267.608,176.216,4
15.55,car0,1,266.913,174.068,4
15.55,car0,4,267.575,176.188,4
15.6,car0,1,266.887,174.091,4
15.6,car0,4,267.55,176.166,4
15.65,car0,1,266.862,174.112,4
15.65,car0,4,267.518,176.138,4
15.7,car0,1,266.845,174.127,4
15.7,car0,4,267.492,176.115,4
15.75,car0,1,266.907,174.073,4
15.75,car0,4,267.469,176.096,4
15.8,car0,4,267.441,176.071,4
15.85,car0,4,267.415,176.049,4
15.9,car0,2,267.1,174.603,4
15.9,car0,4,267.392,176.029,4
15.95,car0,2,266.941,174.625,4
15.95,car0,4,267.372,176.011,4
16,car0,2,266.905,174.63,4
16,car0,4,267.362,176.003,4
16.05,car0,2,266.889,174.633,4
16.05,car0,4,267.387,176.024,4
16.1,car0,2,266.885,174.633,4
16.15,car0,2,266.907,174.63,4
16.2,car0,2,267.096,174.604,4
16.25,car0,3,267.772,175.171,4
16.3,car0,3,266.898,175.049,4
16.35,car0,3,266.885,175.047,4
16.4,car0,3,266.89,175.047,4
16.45,car0,3,266.906,175.05,4
16.5,car0,3,266.949,175.056,4
16.55,car0,3,267.102,175.077,4
16.6,car0,3,267.505,175.134,4
16.65,car0,3,267.503,175.134,4
16.7,car0,3,267.503,175.134,4
16.7,car0,4,266.843,175.551,4
16.75,car0,3,267.505,175.134,4
16.75,car0,4,266.846,175.554,4
16.8,car0,3,267.51,175.135,4
16.8,car0,4,266.869,175.574,4
16.85,car0,2,267.535,175.138,4
16.85,car0,4,266.898,175.599,4
16.9,car0,2,267.512,174.545,4
16.9,car0,4,266.926,175.623,4
16.95,car0,2,267.505,174.546,4
16.95,car0,4,266.962,175.654,4
17,car0,2,267.504,174.546,4
17,car0,4,267.003,175.69,4
17.05,car0,2,267.506,174.546,4
17.05,car0,4,267.063,175.742,4
17.1,car0,2,267.511,174.545,4
17.1,car0,4,267.143,175.812,4
17.15,car0,2,267.52,174.544,4
17.15,car0,4,267.177,175.841,4
17.2,car0,2,267.531,174.543,4
17.2,car0,4,267.226,175.884,4
17.25,car0,2,267.547,174.54,4
17.25,car0,4,267.301,175.949,4
17.3,car0,2,267.564,174.538,4
17.3,car0,5,266.724,176.255,4
17.35,car0,2,267.582,174.535,4
17.35,car0,5,266.733,176.298,4
17.4,car0,2,267.61,174.531,4
17.4,car0,5,266.745,176.354,4
17.45,car0,2,267.677,174.522,4
17.45,car0,5,266.756,176.408,4
17.5,car0,2,267.829,174.501,4
17.5,car0,5,266.769,176.47,4
17.55,car0,5,266.78,176.522,4
17.6,car0,5,266.793,176.581,4
17.65,car0,5,266.805,176.639,4
17.7,car0,1,267.398,173.647,4
17.7,car0,5,266.817,176.695,4
17.75,car0,1,267.383,173.659,4
17.75,car0,5,266.831,176.761,4
17.8,car0,1,267.398,173.647,4
17.8,car0,5,266.843,176.819,4
17.85,car0,1,267.419,173.628,4
